COUNTRY_NAME,REGION,BASIS,EVIDENCE,REVIEW
Brazil,SOUTH_AMERICA,inferred,527/527 single-country lineages,
Bulgaria,EUROPE,inferred,24/24 single-country lineages,
Cameroon,SUB_SAHARAN_AFRICA,inferred,34/34 single-country lineages,
Canada,NORTH_AMERICA,inferred,26/26 single-country lineages,
Cape Verde,SUB_SAHARAN_AFRICA,inferred,1/1 single-country lineages,
Cayman Islands,CENTRAL_AMERICA,authored,"2 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Chile,SOUTH_AMERICA,inferred,70/71 single-country lineages,
China,ASIA,inferred,171/171 single-country lineages,
Christmas Island,AUSTRALIA_AND_NEW_ZEALAND,eliminated,FREAND01 is Christmas Island + Mexico and is flagged AUSTRALIA_AND_NEW_ZEALAND + CENTRAL_AMERICA,
Colombia,SOUTH_AMERICA,inferred,53/53 single-country lineages,
Comoros,SUB_SAHARAN_AFRICA,inferred,6/6 single-country lineages,
Costa Rica,CENTRAL_AMERICA,inferred,4/4 single-country lineages,
Czech Republic,EUROPE,inferred,6/6 single-country lineages,
Denmark,EUROPE,authored,"1 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Dominica,CENTRAL_AMERICA,inferred,1/1 single-country lineages,
Dominican Republic,CENTRAL_AMERICA,authored,"2 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Ecuador,SOUTH_AMERICA,inferred,45/46 single-country lineages,
Egypt,NORTH_AFRICA_AND_MIDDLE_EAST,inferred,1/1 single-country lineages,
Equatorial Guinea,SUB_SAHARAN_AFRICA,inferred,3/3 single-country lineages,
Estonia,EUROPE,authored,"2 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Falkland Islands (Islas Malvinas),SOUTH_AMERICA,inferred,1/1 single-country lineages,
Finland,EUROPE,inferred,1/1 single-country lineages,
France,EUROPE,inferred,3/3 single-country lineages,
French Polynesia,OCEANIA,authored,"4 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Gabon,SUB_SAHARAN_AFRICA,inferred,71/71 single-country lineages,
Germany,EUROPE,inferred,32/32 single-country lineages,
Ghana,SUB_SAHARAN_AFRICA,inferred,5/5 single-country lineages,
Greece,EUROPE,inferred,8/8 single-country lineages,
Grenada,CENTRAL_AMERICA,authored,"1 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Guadeloupe,CENTRAL_AMERICA,inferred,9/10 single-country lineages,
Guatemala,CENTRAL_AMERICA,inferred,4/4 single-country lineages,
Guyana,SOUTH_AMERICA,inferred,17/17 single-country lineages,
Honduras,CENTRAL_AMERICA,inferred,4/4 single-country lineages,
Hungary,EUROPE,inferred,4/4 single-country lineages,
India,ASIA,inferred,68/68 single-country lineages,
Iran,ASIA,inferred,21/21 single-country lineages,
Israel,NORTH_AFRICA_AND_MIDDLE_EAST,inferred,7/7 single-country lineages,
Italy,EUROPE,inferred,7/7 single-country lineages,
Japan,ASIA,inferred,103/104 single-country lineages,
Kazakhstan,ASIA,inferred,4/4 single-country lineages,
Kenya,SUB_SAHARAN_AFRICA,inferred,3/3 single-country lineages,
"Korea, South",ASIA,inferred,4/4 single-country lineages,
Kyrgyzstan,ASIA,inferred,1/1 single-country lineages,
Latvia,EUROPE,authored,"4 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Lithuania,EUROPE,inferred,26/26 single-country lineages,
Madagascar,SUB_SAHARAN_AFRICA,inferred,92/92 single-country lineages,
Malawi,SUB_SAHARAN_AFRICA,inferred,181/181 single-country lineages,
Malaysia,ASIA,inferred,20/20 single-country lineages,
Mali,SUB_SAHARAN_AFRICA,authored,"3 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Malta,EUROPE,authored,"1 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Martinique,CENTRAL_AMERICA,inferred,2/2 single-country lineages,
Mauritius,SUB_SAHARAN_AFRICA,inferred,3/3 single-country lineages,
Mayotte,SUB_SAHARAN_AFRICA,inferred,1/1 single-country lineages,
Mexico,CENTRAL_AMERICA,inferred,50/50 single-country lineages,
Mongolia,ASIA,inferred,4/4 single-country lineages,
Montserrat,CENTRAL_AMERICA,inferred,1/1 single-country lineages,
Morocco,NORTH_AFRICA_AND_MIDDLE_EAST,inferred,50/50 single-country lineages,
Mozambique,SUB_SAHARAN_AFRICA,authored,"1 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Myanmar,ASIA,inferred,30/30 single-country lineages,
Namibia,SUB_SAHARAN_AFRICA,inferred,1/1 single-country lineages,
Netherlands,EUROPE,authored,"19 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Netherlands Antilles,CENTRAL_AMERICA,inferred,1/1 single-country lineages,
New Caledonia,OCEANIA,inferred,10/10 single-country lineages,
New Zealand,AUSTRALIA_AND_NEW_ZEALAND,inferred,9/9 single-country lineages,
Nicaragua,CENTRAL_AMERICA,inferred,41/41 single-country lineages,
Nigeria,SUB_SAHARAN_AFRICA,inferred,33/33 single-country lineages,
Northern Mariana Islands,OCEANIA,inferred,1/1 single-country lineages,
Norway,EUROPE,authored,"24 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Panama,CENTRAL_AMERICA,authored,"1 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Papua New Guinea,OCEANIA,inferred,85/85 single-country lineages,
Peru,SOUTH_AMERICA,inferred,337/337 single-country lineages,
Philippines,ASIA,inferred,72/72 single-country lineages,
Poland,EUROPE,inferred,4/4 single-country lineages,
Portugal,EUROPE,inferred,49/49 single-country lineages,
Romania,EUROPE,inferred,3/3 single-country lineages,
Russia,EUROPE,inferred,10/10 single-country lineages,
Rwanda,SUB_SAHARAN_AFRICA,authored,"2 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Réunion,SUB_SAHARAN_AFRICA,inferred,18/18 single-country lineages,
Saint Lucia,CENTRAL_AMERICA,authored,"3 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Senegal,SUB_SAHARAN_AFRICA,authored,"2 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Serbia,EUROPE,inferred,2/2 single-country lineages,
Seychelles,SUB_SAHARAN_AFRICA,inferred,1/1 single-country lineages,
Singapore,ASIA,inferred,2/2 single-country lineages,
Slovakia,EUROPE,inferred,19/19 single-country lineages,
South Africa,SUB_SAHARAN_AFRICA,inferred,39/40 single-country lineages,
Spain,EUROPE,inferred,85/87 single-country lineages,
Suriname,SOUTH_AMERICA,authored,"1 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Sweden,EUROPE,inferred,53/53 single-country lineages,
Switzerland,EUROPE,inferred,11/11 single-country lineages,
São Tomé and Príncipe,SUB_SAHARAN_AFRICA,inferred,24/24 single-country lineages,
Tanzania,SUB_SAHARAN_AFRICA,inferred,9/9 single-country lineages,
Thailand,ASIA,inferred,59/59 single-country lineages,
The Bahamas,CENTRAL_AMERICA,eliminated,GEOTRI04 is Bahamas + United States + Unknown Country and its CENTRAL_AMERICA flag has no other source,
Trinidad and Tobago,CENTRAL_AMERICA,inferred,1/1 single-country lineages,
Tunisia,NORTH_AFRICA_AND_MIDDLE_EAST,inferred,2/2 single-country lineages,
Turkey,NORTH_AFRICA_AND_MIDDLE_EAST,inferred,21/21 single-country lineages,
Uganda,SUB_SAHARAN_AFRICA,inferred,7/7 single-country lineages,
Ukraine,EUROPE,authored,"16 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
United Kingdom,EUROPE,inferred,23/23 single-country lineages,
United States,NORTH_AMERICA,inferred,474/475 single-country lineages,
Unknown Country,UNKNOWN_REGION,inferred,18/18 single-country lineages,
Uruguay,SOUTH_AMERICA,inferred,6/6 single-country lineages,
Vanuatu,OCEANIA,inferred,17/17 single-country lineages,
Venezuela,SOUTH_AMERICA,inferred,12/12 single-country lineages,
Vietnam,ASIA,inferred,17/17 single-country lineages,
Yemen,NORTH_AFRICA_AND_MIDDLE_EAST,inferred,1/1 single-country lineages,
Zambia,SUB_SAHARAN_AFRICA,inferred,1/1 single-country lineages,
Zimbabwe,SUB_SAHARAN_AFRICA,authored,"10 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
,UNKNOWN_REGION,authored,"2 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
